Column,Datatype,Description,Units
target,float,The monthly charge of the phone plan,USD
PhoneService,binary,Whether or not the customer has phone service,0/1
MultipleLines,binary,Whether or not the customer has multiple lines,0/1
OnlineSecurity,binary,Whether or not the customer has online security,0/1
OnlineBackup,binary,Whether or not the customer has an online backup,0/1
DeviceProtection,binary,Whether or not the customer has device protection,0/1
TechSupport,binary,Whether or not the customer gets tech support,0/1
StreamingTV,binary,Whether or not the customer has streaming TV,0/1
StreamingMovies,binary,Whether or not the customer can stream movies,0/1
InternetService_Fiber optic,binary,Whether or not the customer has fiber optic,0/1
InternetService_No,binary,If the use does not have internet service,0/1
